snapped_at,price,market_cap,total_volume
2020-10-11 00:00:00 UTC,15985.152400980347,479567316.0694074,555280175.8182454
2020-10-12 00:00:00 UTC,16915.450963072726,508239044.0324568,647315934.0234697
2020-10-13 00:00:00 UTC,16501.893309452124,495775639.2081078,413384051.1323985
2020-10-14 00:00:00 UTC,15704.273171434992,471079035.5808852,260492105.3268448
2020-10-15 00:00:00 UTC,14548.570310185873,436374505.2337167,325094677.72894675
2020-10-16 00:00:00 UTC,14559.0330308254,437004210.6114015,306059655.3336089
2020-10-17 00:00:00 UTC,13428.000550491905,406390660.0696581,247825949.0526541
2020-10-18 00:00:00 UTC,14045.04828746066,419690209.7629704,196200564.625569
2020-10-19 00:00:00 UTC,15331.413726394248,459233850.3778272,309474785.14272946
2020-10-20 00:00:00 UTC,13935.670119768252,419932560.55596,233827249.7770215
2020-10-21 00:00:00 UTC,13106.184815104056,393166987.4380632,270519585.9709179
2020-10-22 00:00:00 UTC,13302.210346133044,396537721.4467512,318004510.9318742
2020-10-23 00:00:00 UTC,13609.261190719762,408712314.5669847,204518131.75947294
2020-10-24 00:00:00 UTC,14856.096086625514,445470880.7942973,269129402.38886654
2020-10-25 00:00:00 UTC,14902.333176098768,446188504.5288501,212682984.7399278
2020-10-26 00:00:00 UTC,14287.923870075636,428694473.2394292,156527346.6754319
2020-10-27 00:00:00 UTC,13672.543188866304,409849311.3755742,207386367.51666784
2020-10-28 00:00:00 UTC,13400.95126619877,402938334.6047358,171273872.23889202
2020-10-29 00:00:00 UTC,12598.853152808431,377017557.9005088,210614265.87759656
2020-10-30 00:00:00 UTC,10813.330729700907,327050326.0802643,271960705.2762306
2020-10-31 00:00:00 UTC,11115.653834633651,334305354.8056164,441066504.5999795
2020-11-01 00:00:00 UTC,10486.159158210567,314645012.09472,201121065.34478787
2020-11-02 00:00:00 UTC,10645.126274067401,318612347.0891151,172505767.71606496
2020-11-03 00:00:00 UTC,10074.158762760864,304044440.4162984,188244006.22675437
2020-11-04 00:00:00 UTC,9380.070729974299,282082786.42271006,196741014.40944675
2020-11-05 00:00:00 UTC,8520.932346893562,254347572.8624074,268636159.2251687
